detector,n,timestamp,model
DDM,1884,2017-02-08 16:40:12,baseline_no_change
PageHinkley,2090,2017-02-11 13:33:12,baseline_no_change
ADWIN,2497,2017-02-17 13:53:06,baseline_no_change
PageHinkley,6926,2017-04-10 22:39:25,baseline_no_change
DDM,7047,2017-04-12 16:15:27,baseline_no_change
ADWIN,18305,2017-07-16 18:19:25,baseline_no_change
PageHinkley,18819,2017-07-19 12:39:52,baseline_no_change
PageHinkley,24106,2017-08-23 09:22:34,baseline_no_change
ADWIN,24193,2017-08-23 16:15:30,baseline_no_change
ADWIN,32961,2017-10-17 16:54:34,baseline_no_change
PageHinkley,32973,2017-10-17 17:19:13,baseline_no_change
PageHinkley,44314,2017-12-02 14:49:30,baseline_no_change
ADWIN,46753,2017-12-11 20:47:16,baseline_no_change
PageHinkley,53247,2018-01-13 21:08:59,baseline_no_change
DDM,55471,2018-01-22 11:03:41,baseline_no_change
PageHinkley,57585,2018-01-30 14:46:20,baseline_no_change
ADWIN,57601,2018-01-30 15:26:08,baseline_no_change
ADWIN,63585,2018-02-22 15:43:00,baseline_no_change
PageHinkley,63723,2018-02-22 23:29:03,baseline_no_change
DDM,75565,2018-04-09 01:43:28,baseline_no_change
PageHinkley,81148,2018-04-29 22:56:30,baseline_no_change
PageHinkley,94950,2018-06-25 10:26:50,baseline_no_change
PageHinkley,97011,2018-07-04 10:04:42,baseline_no_change
ADWIN,107841,2018-08-15 08:44:39,baseline_no_change
PageHinkley,108855,2018-08-18 15:19:31,baseline_no_change
DDM,1069,2017-01-28 19:10:46,baseline_prior
ADWIN,1313,2017-02-01 14:38:41,baseline_prior
PageHinkley,1395,2017-02-02 16:04:21,baseline_prior
PageHinkley,3461,2017-03-04 14:28:13,baseline_prior
DDM,4669,2017-03-16 18:07:41,baseline_prior
ADWIN,5281,2017-03-23 12:53:02,baseline_prior
PageHinkley,7063,2017-04-12 18:49:59,baseline_prior
PageHinkley,17102,2017-07-07 23:06:32,baseline_prior
ADWIN,17185,2017-07-08 21:30:18,baseline_prior
PageHinkley,21397,2017-08-05 19:41:47,baseline_prior
PageHinkley,25437,2017-09-01 00:49:12,baseline_prior
ADWIN,26177,2017-09-05 22:14:52,baseline_prior
